"Cell habitat variables file, Shooting Gallery Site, Clear Creek",,,,
Developed from USFWS data,From Jason W 12/4/2012,,,
162,0,16.582,0,I
163,0.709,9.575,0,I
164,0.929,8.44,0,I
165,0,13.551,0,I
166,0,21.418,0,I
167,0,13.956,0,I
168,0,23.675,0,I
169,0,19.206,0,I
170,0,29.255,0,I
171,1,32.662,0,I
172,0,35.035,0,I
173,0,18.293,0,I
174,0.356,16.204,0,I
175,0,32.214,0,I
176,0.978,24.695,0,I
177,1,26.548,0,I
178,0.299,7.179,0,I
179,0.285,8.452,0,I
180,0.257,9.945,0,I
181,0.114,5.331,0,I
182,0.596,28.414,0,I
183,0,27.341,0,I
184,0,24.427,0,I
185,0,20.354,0,I
186,0,17.63,0,I
187,0.141,11.984,0,I
188,0,8.663,0,I
189,0.4,4.101,0,I
190,0,7.338,0,I
191,0.099,8.682,0,I
192,0,18.871,0,I
193,0.916,22.357,0,I
194,0.237,12.815,0,I
195,1,15.245,0,I
196,1,16.625,0,I
197,0,7.092,0,I
198,0,14.723,0,I
199,0.453,20.545,0,I
200,1,21.165,0,I
201,1,21.741,0,I
202,0.852,21.554,0,I
203,0.675,21.075,0,I
204,0.497,24.144,0,I
205,0,24.544,0,I
206,0.127,18.443,0,I
207,0,25.418,0,I
208,0,18.528,0,I
209,0,15.247,0,I
210,0.204,12.075,0,I
211,0,13.903,0,I
212,0,7.644,0,I
213,0,10.666,0,I
214,0,17.37,0,I
215,0,21.55,0,I
216,0,19.987,0,I
217,0,12.771,0,I
218,0.048,6.417,0,I
219,0.137,8.897,0,I
220,0,14.435,0,I
221,0,20.6,0,I
222,0.199,2.896,0,I
223,0,5.193,0,I
224,0.845,2.234,0,I
225,0.974,0.768,0,I
226,1,0.825,0,I
227,1,2.183,0,I
228,0.838,3.201,0,I
229,0.145,1.798,0,I
230,1,2.138,0,I
231,0.632,4.277,0,I
232,1,6.569,0,I
233,0.567,11.15,0,I
234,0,10.918,0,I
235,0,19.251,0,I
236,0,13.024,0,I
237,0,26.088,0,D
238,0,21.079,0.121,D
239,0,13.294,0.24,I
240,0,0.722,0,I
241,0.089,1.157,0,I
242,0.04,4.593,0,I
243,0.144,8.449,0,I
244,0.518,3.895,0,I
245,1,1.023,0,I
246,0.951,3.879,0,I
247,0.041,0.768,0.14,I
248,0.09,1.113,0.385,I
249,0.338,2.838,0.873,I
250,0.254,5.373,0.681,I
251,0.243,0.884,0.036,I
252,0.152,2.146,0.583,I
253,0.234,0.702,0.017,I
254,0.322,0.713,0.724,I
255,0.083,6.74,0.964,I
256,0,11.772,0.999,I
257,0.112,5.196,0.871,I
258,0.25,8.272,1,I
259,0.356,5.647,0.998,I
260,0.356,5.837,0.991,I
261,0,10.918,0.999,I
262,0,3.82,0.907,I
263,0.652,1.08,0.211,I
264,0.355,4.402,0.939,I
265,0.71,1.382,0.432,I
266,0.942,3.072,0.905,I
267,1,6.837,0.999,I
268,0.819,6.734,0.404,I
269,0.118,4.27,0.243,I
270,0.598,7.246,0,I
271,0.365,2.674,0.021,I
272,0.119,4.592,0,I
273,0.565,5.672,0,I
274,0.893,3.015,0,I
275,0.541,4.65,0,I
276,0.114,2.367,0,I
277,0.213,1.88,0,I
278,0.372,1.244,0,I
279,0.861,0.809,0,I
280,0.413,2.152,0,I
281,0.297,0.884,0,I
282,0.574,0.869,0,I
283,0.446,2.438,0,I
284,0.484,0.965,0,I
285,0.435,2.119,0,I
286,0.74,1.462,0,I
287,0.384,10.164,0,I
288,0.245,7.415,0,I
289,0.094,0.676,0.083,I
290,0.489,0.983,0,I
291,0.323,4.364,0.869,I
292,0.777,0.984,0,I
293,0.312,3.813,0.209,I
294,0.355,0.644,0.008,I
295,0.327,1.834,0.951,I
296,0.452,0.661,0,I
297,0,0.95,0.137,I
298,0.35,0.701,0.519,I
299,0,0.88,0.049,I
300,0.252,0.487,0.689,I
301,0.35,1.305,0.258,I
302,0.855,1.039,0,I
303,0.175,1.089,0.095,I
304,0.435,4.268,0.995,I
305,0,2.124,0.163,I
306,0.077,1.012,0.095,I
307,0.668,1.875,0.754,I
308,0.686,2.475,0.416,I
309,0,1.139,0,I
310,0.549,0.595,0,I
311,0,0.818,0.435,I
312,0.09,1.547,0.332,I
313,0,1.529,0.817,I
314,0,1.057,0.244,I
315,0.745,1.308,0.224,I
316,0.974,1.192,0.3,I
317,0,0.804,0.037,I
318,0.561,0.56,0,I
319,0.342,0.698,0,I
320,0.591,1.757,0,I
321,0.288,1.575,0,I
322,0,1.666,0,I
323,1,1.707,0,I
324,0.16,0.592,0,I
325,0.636,0.833,0,I
326,0.877,1.307,0,I
327,0,0.535,0,I
328,0.511,0.656,0,I
329,0,0.427,0,I
330,0.283,0.354,0,I
331,0.395,0.431,0,I
332,0.166,0.831,0,I
333,0,0.929,0,I
334,0,3.57,0,I
335,0.106,0.789,0,I
336,0.417,10.598,0,I
337,0,8.141,0,I
338,0.161,0.752,0,I
339,0.653,4.008,0,I
340,0,2.291,0.871,I
341,0.167,1.035,0.778,I
342,0.135,3.645,0.999,I
343,0.282,0.406,0.264,I
344,0.339,1.861,0.952,I
345,0.591,1.038,0.061,I
346,0.835,2.134,0.566,I
347,0.617,1.244,0.307,I
348,0.038,3.42,0.999,I
349,0.862,1.965,0.341,I
350,0.264,1.388,0.601,I
351,0.075,4.282,0.287,I
352,0.553,3.963,0.834,I
353,0.485,10.634,0.991,I
354,0,5.49,0.373,I
355,0,1.107,0.181,I
356,0.127,0.911,0,I
357,0.421,1.693,0,I
358,0.049,0.925,0.494,I
359,0,1.266,0.542,I
360,0.391,0.742,0.419,I
361,0.455,0.809,0.576,I
362,0.327,0.767,0.084,I
363,0.13,0.706,0.031,I
364,0.272,0.938,0,I
365,0,1.55,0.306,I
366,0,0.982,0.029,I
367,0.13,0.26,0.005,I
368,0.197,0.445,0.007,I
369,0.103,0.59,0,I
370,0.695,0.711,0,I
371,0.199,0.883,0.009,I
372,0.058,0.806,0,I
373,0.124,1.064,0.188,I
374,0.247,2.328,0.324,I
375,0.113,3.001,0.202,I
376,1,0.73,0.257,I
377,0,0.857,0.026,I
378,0.26,0.734,1,I
379,0,0.63,0.46,I
380,0.113,0.842,0.548,I
381,0,1.913,0.172,I
382,0.597,1.323,0.159,I
383,0.113,0.525,0.042,I
384,0.356,0.272,0,I
385,0.024,1.246,0.092,I
386,0.174,0.686,0,I
387,0.761,0.555,0,I
388,0.359,0.673,0,I
389,0.049,0.467,0.003,I
390,0,0.917,0.648,I
391,1,4.489,0.128,I
392,0,2.105,0.532,I
393,0.235,9.734,0,I
394,0.169,10.581,0,I
395,0.546,4.33,0,I
396,0,1.673,0,I
397,0.444,6.949,0,I
398,0.533,7.251,0,I
399,0.161,1.973,0,I
400,1,2.1,0,I
401,0.334,1.802,0,I
402,0,2.406,0,I
403,1,5.789,0,I
404,0,1.717,0,I
405,0,2.148,0,I
406,0,0.645,0,I
407,0,0.626,0,I
408,0,0.639,0,I
409,0,0.98,0,I
410,0.264,1.671,0,I
411,0.483,2.111,0.148,I
412,0,1.924,0.288,I
413,0,7.039,0,I
414,0.589,0.532,0.315,I
415,1,1.069,0.771,I
