Spawner Initialization file,Values estimated from CDF&G carcass counts and weighted by Spawning Area Mapping results, JWhite,Provided 15 March 2013
Fall chinook in Clear Creek,Save in .csv format
Year,Arrival reach,Number of spawners,Fraction female,Arrival start date,Arrival end date,Arrival ratio,Female length mean,Female length SD
2009,SideChannelRunPool,3,0.57,10/2/2009,10/31/2009,0.0001,85,8.1
2010,SideChannelRunPool,8,0.51,10/2/2010,10/31/2010,0.0001,85,8.1
2011,SideChannelRunPool,5,0.68,10/2/2011,10/31/2011,0.0001,81,7.9
1998,LowerGorge,205,0.58,10/2/1998,10/31/1998,0.0001,85,8.1
1999,LowerGorge,385,0.51,10/2/1999,10/31/1999,0.0001,85,8.1
2000,LowerGorge,322,0.5,10/2/2000,10/31/2000,0.0001,85,8.1
2001,LowerGorge,522,0.51,10/2/2001,10/31/2001,0.0001,85,8.1
2002,LowerGorge,773,0.51,10/2/2002,10/31/2002,0.0001,85,8.1
2003,LowerGorge,456,0.57,10/2/2003,10/31/2003,0.0001,85,8.1
2004,LowerGorge,306,0.58,10/2/2004,10/31/2004,0.0001,85,8.1
2005,LowerGorge,713,0.65,10/2/2005,10/31/2005,0.0001,85,8.1
2006,LowerGorge,405,0.57,10/2/2006,10/31/2006,0.0001,85,8.1
2007,LowerGorge,199,0.64,10/2/2007,10/31/2007,0.0001,85,8.1
2008,LowerGorge,369,0.65,10/2/2008,10/31/2008,0.0001,85,8.1
2009,LowerGorge,155,0.57,10/2/2009,10/31/2009,0.0001,85,8.1
2010,LowerGorge,346,0.51,10/2/2010,10/31/2010,0.0001,85,8.1
2011,LowerGorge,233,0.68,10/2/2011,10/31/2011,0.0001,81,7.9
1998,UpperRenshaw,206,0.58,10/2/1998,10/31/1998,0.0001,85,8.1
1999,UpperRenshaw,387,0.51,10/2/1999,10/31/1999,0.0001,85,8.1
2000,UpperRenshaw,323,0.5,10/2/2000,10/31/2000,0.0001,85,8.1
2001,UpperRenshaw,526,0.51,10/2/2001,10/31/2001,0.0001,85,8.1
2002,UpperRenshaw,777,0.51,10/2/2002,10/31/2002,0.0001,85,8.1
2003,UpperRenshaw,458,0.57,10/2/2003,10/31/2003,0.0001,85,8.1
2004,UpperRenshaw,308,0.58,10/2/2004,10/31/2004,0.0001,85,8.1
2005,UpperRenshaw,717,0.65,10/2/2005,10/31/2005,0.0001,85,8.1
2006,UpperRenshaw,407,0.57,10/2/2006,10/31/2006,0.0001,85,8.1
2007,UpperRenshaw,200,0.64,10/2/2007,10/31/2007,0.0001,85,8.1
2008,UpperRenshaw,371,0.65,10/2/2008,10/31/2008,0.0001,85,8.1
2009,UpperRenshaw,156,0.57,10/2/2009,10/31/2009,0.0001,85,8.1
2010,UpperRenshaw,348,0.51,10/2/2010,10/31/2010,0.0001,85,8.1
2011,UpperRenshaw,234,0.68,10/2/2011,10/31/2011,0.0001,81,7.9
1998,LowerRenshaw,1063,0.58,10/2/1998,10/31/1998,0.0001,85,8.1
1999,LowerRenshaw,1997,0.51,10/2/1999,10/31/1999,0.0001,85,8.1
2000,LowerRenshaw,1669,0.5,10/2/2000,10/31/2000,0.0001,85,8.1
2001,LowerRenshaw,2711,0.51,10/2/2001,10/31/2001,0.0001,85,8.1
2002,LowerRenshaw,4010,0.51,10/2/2002,10/31/2002,0.0001,85,8.1
2003,LowerRenshaw,2364,0.57,10/2/2003,10/31/2003,0.0001,85,8.1
2004,LowerRenshaw,1588,0.58,10/2/2004,10/31/2004,0.0001,85,8.1
2005,LowerRenshaw,3699,0.65,10/2/2005,10/31/2005,0.0001,85,8.1
2006,LowerRenshaw,2101,0.57,10/2/2006,10/31/2006,0.0001,85,8.1
2007,LowerRenshaw,1030,0.64,10/2/2007,10/31/2007,0.0001,85,8.1
2008,LowerRenshaw,1916,0.65,10/2/2008,10/31/2008,0.0001,85,8.1
2009,LowerRenshaw,805,0.57,10/2/2009,10/31/2009,0.0001,85,8.1
2010,LowerRenshaw,1795,0.51,10/2/2010,10/31/2010,0.0001,85,8.1
2011,LowerRenshaw,1208,0.68,10/2/2011,10/31/2011,0.0001,81,7.9
1998,UpperIsolation,241,0.58,10/2/1998,10/31/1998,0.0001,85,8.1
1999,UpperIsolation,453,0.51,10/2/1999,10/31/1999,0.0001,85,8.1
2000,UpperIsolation,378,0.5,10/2/2000,10/31/2000,0.0001,85,8.1
2001,UpperIsolation,615,0.51,10/2/2001,10/31/2001,0.0001,85,8.1
2002,UpperIsolation,909,0.51,10/2/2002,10/31/2002,0.0001,85,8.1
2003,UpperIsolation,536,0.57,10/2/2003,10/31/2003,0.0001,85,8.1
2004,UpperIsolation,360,0.58,10/2/2004,10/31/2004,0.0001,85,8.1
2005,UpperIsolation,839,0.65,10/2/2005,10/31/2005,0.0001,85,8.1
2006,UpperIsolation,477,0.57,10/2/2006,10/31/2006,0.0001,85,8.1
2007,UpperIsolation,234,0.64,10/2/2007,10/31/2007,0.0001,85,8.1
2008,UpperIsolation,434,0.65,10/2/2008,10/31/2008,0.0001,85,8.1
2009,UpperIsolation,183,0.57,10/2/2009,10/31/2009,0.0001,85,8.1
2010,UpperIsolation,407,0.51,10/2/2010,10/31/2010,0.0001,85,8.1
2011,UpperIsolation,274,0.68,10/2/2011,10/31/2011,0.0001,81,7.9
1998,NorthStateRiffle,127,0.58,10/2/1998,10/31/1998,0.0001,85,8.1
1999,NorthStateRiffle,239,0.51,10/2/1999,10/31/1999,0.0001,85,8.1
2000,NorthStateRiffle,200,0.5,10/2/2000,10/31/2000,0.0001,85,8.1
2001,NorthStateRiffle,324,0.51,10/2/2001,10/31/2001,0.0001,85,8.1
2002,NorthStateRiffle,480,0.51,10/2/2002,10/31/2002,0.0001,85,8.1
2003,NorthStateRiffle,283,0.57,10/2/2003,10/31/2003,0.0001,85,8.1
2004,NorthStateRiffle,190,0.58,10/2/2004,10/31/2004,0.0001,85,8.1
2005,NorthStateRiffle,442,0.65,10/2/2005,10/31/2005,0.0001,85,8.1
2006,NorthStateRiffle,251,0.57,10/2/2006,10/31/2006,0.0001,85,8.1
2007,NorthStateRiffle,123,0.64,10/2/2007,10/31/2007,0.0001,85,8.1
2008,NorthStateRiffle,229,0.65,10/2/2008,10/31/2008,0.0001,85,8.1
2009,NorthStateRiffle,96,0.57,10/2/2009,10/31/2009,0.0001,85,8.1
2010,NorthStateRiffle,215,0.51,10/2/2010,10/31/2010,0.0001,85,8.1
2011,NorthStateRiffle,144,0.68,10/2/2011,10/31/2011,0.0001,81,7.9
1998,Restoration3C,79,0.58,10/2/1998,10/31/1998,0.0001,85,8.1
1999,Restoration3C,148,0.51,10/2/1999,10/31/1999,0.0001,85,8.1
2000,Restoration3C,124,0.5,10/2/2000,10/31/2000,0.0001,85,8.1
2001,Restoration3C,201,0.51,10/2/2001,10/31/2001,0.0001,85,8.1
2002,Restoration3C,297,0.51,10/2/2002,10/31/2002,0.0001,85,8.1
2003,Restoration3C,175,0.57,10/2/2003,10/31/2003,0.0001,85,8.1
2004,Restoration3C,118,0.58,10/2/2004,10/31/2004,0.0001,85,8.1
2005,Restoration3C,274,0.65,10/2/2005,10/31/2005,0.0001,85,8.1
2006,Restoration3C,156,0.57,10/2/2006,10/31/2006,0.0001,85,8.1
2007,Restoration3C,76,0.64,10/2/2007,10/31/2007,0.0001,85,8.1
2008,Restoration3C,142,0.65,10/2/2008,10/31/2008,0.0001,85,8.1
2009,Restoration3C,60,0.57,10/2/2009,10/31/2009,0.0001,85,8.1
2010,Restoration3C,133,0.51,10/2/2010,10/31/2010,0.0001,85,8.1
2011,Restoration3C,90,0.68,10/2/2011,10/31/2011,0.0001,81,7.9
1998,Restoration3B,367,0.58,10/2/1998,10/31/1998,0.0001,85,8.1
1999,Restoration3B,690,0.51,10/2/1999,10/31/1999,0.0001,85,8.1
2000,Restoration3B,576,0.5,10/2/2000,10/31/2000,0.0001,85,8.1
2001,Restoration3B,936,0.51,10/2/2001,10/31/2001,0.0001,85,8.1
2002,Restoration3B,1385,0.51,10/2/2002,10/31/2002,0.0001,85,8.1
2003,Restoration3B,816,0.57,10/2/2003,10/31/2003,0.0001,85,8.1
2004,Restoration3B,548,0.58,10/2/2004,10/31/2004,0.0001,85,8.1
2005,Restoration3B,1277,0.65,10/2/2005,10/31/2005,0.0001,85,8.1
2006,Restoration3B,726,0.57,10/2/2006,10/31/2006,0.0001,85,8.1
2007,Restoration3B,356,0.64,10/2/2007,10/31/2007,0.0001,85,8.1
2008,Restoration3B,661,0.65,10/2/2008,10/31/2008,0.0001,85,8.1
2009,Restoration3B,278,0.57,10/2/2009,10/31/2009,0.0001,85,8.1
2010,Restoration3B,620,0.51,10/2/2010,10/31/2010,0.0001,85,8.1
2011,Restoration3B,417,0.68,10/2/2011,10/31/2011,0.0001,81,7.9
1998,Restoration3A,186,0.58,10/2/1998,10/31/1998,0.0001,85,8.1
1999,Restoration3A,349,0.51,10/2/1999,10/31/1999,0.0001,85,8.1
2000,Restoration3A,291,0.5,10/2/2000,10/31/2000,0.0001,85,8.1
2001,Restoration3A,473,0.51,10/2/2001,10/31/2001,0.0001,85,8.1
2002,Restoration3A,700,0.51,10/2/2002,10/31/2002,0.0001,85,8.1
2003,Restoration3A,413,0.57,10/2/2003,10/31/2003,0.0001,85,8.1
2004,Restoration3A,277,0.58,10/2/2004,10/31/2004,0.0001,85,8.1
2005,Restoration3A,646,0.65,10/2/2005,10/31/2005,0.0001,85,8.1
2006,Restoration3A,367,0.57,10/2/2006,10/31/2006,0.0001,85,8.1
2007,Restoration3A,180,0.64,10/2/2007,10/31/2007,0.0001,85,8.1
2008,Restoration3A,334,0.65,10/2/2008,10/31/2008,0.0001,85,8.1
2009,Restoration3A,141,0.57,10/2/2009,10/31/2009,0.0001,85,8.1
2010,Restoration3A,313,0.51,10/2/2010,10/31/2010,0.0001,85,8.1
2011,Restoration3A,211,0.68,10/2/2011,10/31/2011,0.0001,81,7.9
1998,TarzanPool,3,0.58,10/2/1998,10/31/1998,0.0001,85,8.1
1999,TarzanPool,5,0.51,10/2/1999,10/31/1999,0.0001,85,8.1
2000,TarzanPool,4,0.5,10/2/2000,10/31/2000,0.0001,85,8.1
2001,TarzanPool,7,0.51,10/2/2001,10/31/2001,0.0001,85,8.1
2002,TarzanPool,10,0.51,10/2/2002,10/31/2002,0.0001,85,8.1
2003,TarzanPool,6,0.57,10/2/2003,10/31/2003,0.0001,85,8.1
2004,TarzanPool,4,0.58,10/2/2004,10/31/2004,0.0001,85,8.1
2005,TarzanPool,10,0.65,10/2/2005,10/31/2005,0.0001,85,8.1
2006,TarzanPool,5,0.57,10/2/2006,10/31/2006,0.0001,85,8.1
2007,TarzanPool,3,0.64,10/2/2007,10/31/2007,0.0001,85,8.1
2008,TarzanPool,5,0.65,10/2/2008,10/31/2008,0.0001,85,8.1
2009,TarzanPool,2,0.57,10/2/2009,10/31/2009,0.0001,85,8.1
2010,TarzanPool,5,0.51,10/2/2010,10/31/2010,0.0001,85,8.1
2011,TarzanPool,3,0.68,10/2/2011,10/31/2011,0.0001,81,7.9
1998,ACIDGlide,11,0.58,10/2/1998,10/31/1998,0.0001,85,8.1
1999,ACIDGlide,21,0.51,10/2/1999,10/31/1999,0.0001,85,8.1
2000,ACIDGlide,18,0.5,10/2/2000,10/31/2000,0.0001,85,8.1
2001,ACIDGlide,29,0.51,10/2/2001,10/31/2001,0.0001,85,8.1
2002,ACIDGlide,43,0.51,10/2/2002,10/31/2002,0.0001,85,8.1
2003,ACIDGlide,25,0.57,10/2/2003,10/31/2003,0.0001,85,8.1
2004,ACIDGlide,17,0.58,10/2/2004,10/31/2004,0.0001,85,8.1
2005,ACIDGlide,39,0.65,10/2/2005,10/31/2005,0.0001,85,8.1
2006,ACIDGlide,22,0.57,10/2/2006,10/31/2006,0.0001,85,8.1
2007,ACIDGlide,11,0.64,10/2/2007,10/31/2007,0.0001,85,8.1
2008,ACIDGlide,20,0.65,10/2/2008,10/31/2008,0.0001,85,8.1
2009,ACIDGlide,9,0.57,10/2/2009,10/31/2009,0.0001,85,8.1
2010,ACIDGlide,19,0.51,10/2/2010,10/31/2010,0.0001,85,8.1
2011,ACIDGlide,13,0.68,10/2/2011,10/31/2011,0.0001,81,7.9
