Clear Creek Site 3A Cell habitat variables file
Last modified: SFR 4/20/2011				
Cell#	FracVelocityShelter	DistToHidingCover	FracSpawnGravel	ReachEndCode
184	0	8	1	I
185	0.1	1.2	0	I
186	0	1.5	0	I
187	0.1	1.2	0	I
189	0	2.5	0.2	I
190	0	4	1	I
191	0	5	1	I
192	0.1	0.3	0	I
193	0.1	1	0	I
194	0	4	0.6	I
195	0	4	0	I
196	0.2	7	0	I
197	0.1	0.2	0	I
199	0.1	1.5	0.3	I
200	0.1	1.2	0	I
202	0.1	1	0.9	I
203	0.1	0.3	0	I
204	0	8	1	I
205	0	3.5	1	I
206	0	6	0.4	I
207	0.1	0.2	0	I
208	0.1	2	1	I
209	0	3	0.5	I
210	0.1	1.2	0.4	I
212	0	6	0	I
214	0	4	0.3	I
215	0	4	0.7	I
216	0.5	0.5	0	I
217	0.1	1	0	I
218	0.1	1.6	0	I
219	0.1	0.2	0	I
220	0	4	0.4	I
222	0.1	8	1	I
224	0	6	1	I
225	0.1	1.2	0.4	I
226	0.1	0.5	0	I
227	0	1.5	0	I
228	0	4	0.7	I
229	0	4	0	I
230	0	6	1	I
232	0.1	0.5	0	I
233	0	10	1	I
234	0	7	1	I
235	0	6	0.4	I
236	0	5	0.5	I
237	0.5	0.5	0	I
238	0	8	1	I
239	0	10	0	I
240	0	3	0.4	I
241	0.1	2	0.6	I
243	0.1	0.2	0	I
244	0.1	1.5	0	I
245	0	4	0	I
246	0	8	1	I
247	0	6	0.8	I
248	0.1	1	0	I
249	0	6	0.3	I
250	0.1	0.5	0	I
252	0.1	3.5	0.9	I
253	0.2	2	0	I
254	0	6	0.7	I
255	0.1	1	0	I
256	0	6	1	I
257	0	10	1	I
259	0	10	1	I
260	0	10	0.8	I
262	0	6	1	I
263	0	6	1	I
265	0	1.5	0	I
266	0.1	1.5	0	I
267	0	8	1	I
268	0	8	1	I
269	0	8	1	I
272	0	4	1	I
274	0	6	1	I
275	0.2	2	0	I
277	0.1	1	0	I
279	0	3	0.4	I
280	0.1	0.5	0	I
281	0	8	1	I
283	0	4	0	I
284	0	10	1	I
285	0	6	0.7	I
286	0	8	1	I
287	0	1	0	I
288	0	2.5	1	I
289	0.1	0.5	0	I
290	0	6	0.5	I
291	0	2	0	I
292	0	8	1	I
293	0.1	0.7	0	I
294	1.03	1	0	I
295	0	8	1	I
299	0	4.5	0	I
300	0.1	0.6	0	I
301	0.1	0.5	0.2	I
303	0	4	1	I
304	0.1	1	1	I
305	0	4	1	I
306	0	6	0.7	I
307	0	2	0	I
308	0	1	0	I
310	0.1	1	0	I
311	0.1	0.5	0.2	I
313	0	10	0	I
314	0.1	0.7	0	I
315	0	3	0.5	I
316	0	7	1	I
317	0	6	0.9	I
319	0	7	0	I
321	0	7	0	I
323	0.1	1	0	I
324	0	6	0.5	I
325	0	6	1	I
326	0	1	0	I
327	0	8	1	I
328	0	10	1	I
330	0	10	1	I
331	0	10	0.8	I
332	0	8	1	I
333	0.1	1	0	I
334	0	5	0	I
335	0	4	0	I
336	0.1	0.7	0	I
337	0.1	2	0	I
338	0	1.5	0	I
339	0.1	0.5	0	I
340	0	1	0	I
341	0.1	1	1	I
342	0.1	1	0.2	I
343	0	5	0	I
344	0	8	0.5	I
345	0.1	1.5	0	I
346	0.1	0.9	0	I
347	0.1	3	0	I
348	0	1.5	0	I
349	0.1	1	0	I
350	0	4.5	0	I
351	0	1	0	I
352	0.1	0.9	0	I
353	0.1	1	0	I
354	0	8	0	I
355	0.1	0.9	0	I
356	0.1	1.5	0	I
357	0.15	1.5	0	I
358	0.1	4	0	I
360	0	10	1	I
361	0	1.5	0	I
362	0	8	0.5	I
363	0.2	2	0	I
364	0	3	1	I
365	0.1	1	1	I
366	0.1	0.9	0	I
367	0	0.4	0	I
368	0.1	1.5	0	I
370	0.1	2	0	I
371	0	5	0	I
372	0	8	0	I
373	0.1	0.9	0	I
374	0.2	0.7	0	I
375	0	0.4	0	I
378	0.1	0.4	0	I
379	0	7	0	I
380	0.1	1	0	I
381	0	8	0.5	I
382	0.2	0.8	0	I
383	0	0.4	0	I
384	0	1.5	0	I
385	0.1	0.5	0	I
386	0.1	0.9	0	I
387	0.15	0.6	0.2	I
388	0.2	0.7	0	I
391	0.2	0.5	0	I
392	0	8	1	I
393	0.2	0.7	0	I
394	0	8	0	I
395	0	8	0	I
397	0.1	0.9	0	I
398	0	3.5	0.2	I
399	0.1	1	0	I
401	0.1	0.5	0	I
402	0	0.7	0	I
403	0.1	0.5	0	I
404	0	8	0.5	I
405	0.1	1	0	I
406	0.1	0.5	0	I
408	0.1	0.5	0	I
410	0.2	0.7	0	I
411	0.1	0.9	0	I
412	0	4	0	I
413	0.2	0.7	0	I
414	0.1	0.9	0	I
415	0	5	0	I
417	0.1	3	0	I
418	0.1	6	0	I
419	0	5	0.3	I
420	0.1	0.9	0	I
421	0.1	6	0	I
422	0.1	0.9	0	I
423	0.1	0.5	0	I
424	0.1	3	0.2	I
426	0.1	6	0	I
427	0	5	0	I
428	0.1	1	0	I
429	0	5	0	I
430	0	5	0.2	I
431	0	5	0.3	I
432	0	3.5	0.2	I
433	0	3.5	0.2	I
435	0.05	3	1	I
437	0.05	3	0.6	I
438	0	5	0	I
439	0.1	0.4	0.2	I
440	0	3.5	0.2	I
441	0.1	4	0.3	I
442	0.1	3	0.3	I
443	0	0	0.8	I
444	0	0	0	I
445	0.05	3	0.6	I
447	0	3	0	I
448	0.1	4	0	I
449	0	5	0.2	I
450	0	0	0	I
451	0	0	0	I
452	0.1	4	0	I
453	0.05	1	0.2	I
454	0	1.5	0.1	I
455	0	5	0.8	I
456	0	0.5	0	I
458	0	0	0	I
459	0	0.5	0	I
460	0	5	0	I
461	0.1	2	0	I
462	0.1	1	0	I
463	0	10	0	I
464	0.1	1	0	I
465	0	0.5	0	I
466	0	10	0	I
468	0.05	1	0	I
469	0.1	4	0	I
470	0.05	0.5	0	I
471	0.1	3	0	I
473	0.05	0.5	0	I
474	0	6	0	I
475	0	5	0	I
476	0	6	0	I
477	0	6	0	I
478	0.1	3	0	I
479	0.15	1	0.2	I
480	0.15	1	0	I
481	0	6	0.2	I
482	0	6	0.2	I
483	0	4	0	I
485	0	5	0	I
486	0	5	0	I
487	0.15	1	0.4	I
489	0	8	0.2	I
491	0.1	3	0	I
492	0	5	0	I
493	0	5	0	I
494	0.1	2	0	I
495	0	7	0.8	I
496	0.1	0.4	0.2	I
499	0	2	0	I
501	0.1	0.4	0	I
502	0	7	0.6	I
503	0.1	0.4	0.2	I
505	0.1	1	0	I
507	0.1	1	0	I
509	0	6	0	I
510	0	4	0	I
512	0	7	0.9	I
513	0.1	0.3	0	I
514	0	2	1	I
515	0	2	0.8	I
516	0.1	0.3	0	I
517	0	6	0	I
518	0	10	0.2	I
520	0	10	0.2	I
523	0	2	0.2	I
526	0	4	0	I
527	0	6	0	I
528	0.1	0.6	0	I
529	0	10	0.6	I
530	0	10	1	I
532	0.1	1	0	I
534	0	10	1	I
535	0.1	0.5	0	I
537	0	6	1	I
539	0.1	0.5	0.9	I
541	0.1	1	0	I
543	0	10	1	I
544	0	6	1	I
546	0.1	0.8	0	I
547	0	2	0.7	I
548	0.1	0.5	0	I
550	0.1	1	0	I
551	0.1	1	0	I
553	0	4.5	0	I
554	0	0.5	0.9	I
555	0	10	1	I
556	0	6	1	I
558	0.2	0.7	0	I
559	0.1	1	0	I
561	0.1	1	0	I
562	0.1	0.5	0.3	I
563	0.1	1	0	I
565	0.1	2	0	I
566	0	6	1	I
567	0	0.5	1	I
568	0.2	1	0	I
570	0	4	0.9	I
571	0.1	2	0	D
573	0	4.5	0	I
574	0	4.5	0.7	I
575	0	0.5	1	I
576	0.1	1	0.3	I
577	0.2	0.7	0	I
579	0.1	1	0.2	I
580	0	4.5	0	I
581	0.1	1	0.2	I
582	0.1	1	0	I
583	0.1	0.5	0	I
585	0	4	0.6	I
589	0.1	0.5	0	D
590	0	4	0.7	I
592	0	3	1	I
593	0	2.8	0.8	I
594	0	2.8	0.7	I
595	0	2.8	0	I
596	0	0.5	0	I
597	0	4	0.5	I
598	0.1	0.4	0	I
599	0.1	0.4	0	I
600	0.1	0.5	0	I
603	0.1	0.5	0	I
604	0	4	0	D
605	0	4	0	D
606	0.1	0.5	0	I
607	0.1	0.5	0.2	I
608	0	0.7	0	I
609	0	8	0.7	I
610	0	8	0.5	I
611	0	8	1	I
612	0	6	1	I
613	0	6	1	I
614	0	4	1	I
615	0.1	0.5	0	D
616	0.1	0.5	0.8	I
617	0.1	0.5	0	I
618	0	0.2	0	I
619	0.1	1.4	0	I
620	0	0.5	0	I
621	0	0.1	0	I
622	0	4	0.7	D
623	0.2	7	0	I
624	0.2	7	0	I
625	0.2	7	0.5	I
626	0	0.5	0	I
627	0.1	0.5	0	I
628	0	0.6	0	I
629	0	6	0.4	I
630	0	8	0.8	D
631	0	0	0	I
647	0	8	0.8	I
650	0.1	1.5	0	U
651	0	2.5	1	U
652	0.1	0.4	0	I
653	0	4	0	I
654	0.1	0.6	0	I
655	0	8	1	I
656	0	8	1	I
658	0	0.6	0	I
659	0.1	0.6	0	I
660	0	2.5	0	I
661	0.1	1	0	I
662	0	0.4	0	I
663	0	0.5	0.1	I
664	0	0.5	0.1	I
665	0	7	1	I
667	0	6	1	I
668	0.2	3	0	I
669	0	2	0	I
670	0.1	4	0	I
671	0	10	0	I
672	0	5	0.5	I
673	0	5	0	I
674	0.1	3	0	I
675	0	8	0.6	I
676	0.1	1	0	I
677	0	5	0.2	I
678	0.1	0.5	0	I
679	0.1	0.3	0	I
680	0.1	0.5	0	I
681	0	10	0.2	I
682	0.1	0.5	0	I
683	0.1	1.5	0	I
684	0	4.5	0.9	I
686	0.1	1	0	I
687	0	4.5	0	I
688	0	10	0.9	I
689	0	3	1	I
690	0	4	0.6	I
691	0.15	1.5	0.5	I
692	0.1	0.7	0	I
693	0.1	0.5	0	I
694	0.1	2	0	I
